Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T021_001,ACS15_5yr_B08015001,ACS15_5yr_B08015002,ACS15_5yr_B08015003,ACS15_5yr_B08015001s,ACS15_5yr_B08015002s,ACS15_5yr_B08015003s
6037120020,14000US06037120020,"Census Tract 1200.20, Los Angeles County, California","Census Tract 1200.20, Los Angeles County, California",ca,140,0,ACSSF,4015,,,,,6,37,,,,120020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822,4.34,1380,880,495,135.7575758,101.8181818,77.57575758
6037120030,14000US06037120030,"Census Tract 1200.30, Los Angeles County, California","Census Tract 1200.30, Los Angeles County, California",ca,140,0,ACSSF,4016,,,,,6,37,,,,120030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521,3.64,615,385,230,67.87878788,56.96969697,39.39393939
6037120103,14000US06037120103,"Census Tract 1201.03, Los Angeles County, California","Census Tract 1201.03, Los Angeles County, California",ca,140,0,ACSSF,4017,,,,,6,37,,,,120103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268,4.06,515,370,145,80.60606061,53.93939394,44.24242424
6037120104,14000US06037120104,"Census Tract 1201.04, Los Angeles County, California","Census Tract 1201.04, Los Angeles County, California",ca,140,0,ACSSF,4018,,,,,6,37,,,,120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,3.54,640,435,205,64.24242424,51.51515152,46.06060606
6037120105,14000US06037120105,"Census Tract 1201.05, Los Angeles County, California","Census Tract 1201.05, Los Angeles County, California",ca,140,0,ACSSF,4019,,,,,6,37,,,,120105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912,3.32,825,525,305,76.36363636,70.3030303,41.21212121
6037120106,14000US06037120106,"Census Tract 1201.06, Los Angeles County, California","Census Tract 1201.06, Los Angeles County, California",ca,140,0,ACSSF,4020,,,,,6,37,,,,120106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4695,3.91,1015,625,390,102.4242424,78.18181818,75.75757576
6037120107,14000US06037120107,"Census Tract 1201.07, Los Angeles County, California","Census Tract 1201.07, Los Angeles County, California",ca,140,0,ACSSF,4021,,,,,6,37,,,,120107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886,3.78,940,605,335,101.8181818,69.09090909,67.87878788
6037120108,14000US06037120108,"Census Tract 1201.08, Los Angeles County, California","Census Tract 1201.08, Los Angeles County, California",ca,140,0,ACSSF,4022,,,,,6,37,,,,120108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4883,3.81,1385,895,490,127.2727273,105.4545455,67.87878788
6037120300,14000US06037120300,"Census Tract 1203, Los Angeles County, California","Census Tract 1203, Los Angeles County, California",ca,140,0,ACSSF,4023,,,,,6,37,,,,120300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5597,3.94,2125,1120,1005,181.8181818,105.4545455,126.0606061
6037120400,14000US06037120400,"Census Tract 1204, Los Angeles County, California","Census Tract 1204, Los Angeles County, California",ca,140,0,ACSSF,4024,,,,,6,37,,,,120400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7021,3.43,2470,1330,1135,155.7575758,104.2424242,114.5454545
6037121010,14000US06037121010,"Census Tract 1210.10, Los Angeles County, California","Census Tract 1210.10, Los Angeles County, California",ca,140,0,ACSSF,4025,,,,,6,37,,,,121010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,3.62,1750,1005,750,153.3333333,81.81818182,104.2424242
