Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T057_001
6037543702,14000US06037543702,"Census Tract 5437.02, Los Angeles County, California","Census Tract 5437.02, Los Angeles County, California",ca,140,0,ACSSF,5583,,,,,6,37,,,,543702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7346,7346,14463.26,0.507907759,0.5079077,0.5079077,0,75602
6037543703,14000US06037543703,"Census Tract 5437.03, Los Angeles County, California","Census Tract 5437.03, Los Angeles County, California",ca,140,0,ACSSF,5584,,,,,6,37,,,,543703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295,3295,8396.336,0.392433092,0.3998949,0.3924331,0.00746181,74625
6037543801,14000US06037543801,"Census Tract 5438.01, Los Angeles County, California","Census Tract 5438.01, Los Angeles County, California",ca,140,0,ACSSF,5585,,,,,6,37,,,,543801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5627,5627,6745.825,0.834145564,0.8501885,0.8341455,0.01604293,67083
6037543802,14000US06037543802,"Census Tract 5438.02, Los Angeles County, California","Census Tract 5438.02, Los Angeles County, California",ca,140,0,ACSSF,5586,,,,,6,37,,,,543802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6796,6796,12981.18,0.523527136,0.5235271,0.5235271,0,60833
6037543903,14000US06037543903,"Census Tract 5439.03, Los Angeles County, California","Census Tract 5439.03, Los Angeles County, California",ca,140,0,ACSSF,5587,,,,,6,37,,,,543903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3828,3828,7394.496,0.517682321,0.5234488,0.5176823,0.005766436,71893
6037543905,14000US06037543905,"Census Tract 5439.05, Los Angeles County, California","Census Tract 5439.05, Los Angeles County, California",ca,140,0,ACSSF,5588,,,,,6,37,,,,543905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421,4421,4176.691,1.058493321,1.059031,1.058493,0.00053784,58750
6037544001,14000US06037544001,"Census Tract 5440.01, Los Angeles County, California","Census Tract 5440.01, Los Angeles County, California",ca,140,0,ACSSF,5589,,,,,6,37,,,,544001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4420,4420,5070.14,0.871770834,0.8789921,0.8717709,0.007221269,52167
6037544002,14000US06037544002,"Census Tract 5440.02, Los Angeles County, California","Census Tract 5440.02, Los Angeles County, California",ca,140,0,ACSSF,5590,,,,,6,37,,,,544002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796,2796,6331.26,0.441618262,0.4416183,0.4416183,0,80964
6037550000,14000US06037550000,"Census Tract 5500, Los Angeles County, California","Census Tract 5500, Los Angeles County, California",ca,140,0,ACSSF,5591,,,,,6,37,,,,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378,1378,4573.019,0.30133267,0.3013327,0.3013327,0,70714
6037550100,14000US06037550100,"Census Tract 5501, Los Angeles County, California","Census Tract 5501, Los Angeles County, California",ca,140,0,ACSSF,5592,,,,,6,37,,,,550100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7785,7785,12227.87,0.636660479,0.6366605,0.6366605,0,76786
